,timestamp,value,price,value_classification
328,1548892800000                                     ,17,3457.882568359375,Extreme Fear                                      
329,1548979200000                                     ,23,3431.943603515625,Extreme Fear                                      
330,1549065600000                                     ,22,3464.490234375,Extreme Fear                                      
331,1549152000000                                     ,19,3486.58154296875,Extreme Fear                                      
332,1549238400000                                     ,27,3454.02587890625,Fear                                              
333,1549324800000                                     ,21,3464.00341796875,Extreme Fear                                      
334,1549411200000                                     ,14,3469.894775390625,Extreme Fear                                      
335,1549497600000                                     ,18,3405.8369140625,Extreme Fear                                      
336,1549584000000                                     ,37,3394.0146484375,Fear                                              
337,1549670400000                                     ,42,3664.281982421875,Fear                                              
338,1549756800000                                     ,40,3667.408203125,Fear                                              
339,1549843200000                                     ,46,3675.691650390625,Fear                                              
340,1549929600000                                     ,38,3631.444580078125,Fear                                              
341,1550016000000                                     ,48,3633.965087890625,Neutral                                           
342,1550102400000                                     ,48,3610.062255859375,Neutral                                           
343,1550188800000                                     ,43,3589.661865234375,Fear                                              
344,1550275200000                                     ,43,3601.229248046875,Fear                                              
345,1550361600000                                     ,38,3622.591552734375,Fear                                              
346,1550448000000                                     ,63,3665.075439453125,Greed                                             
347,1550534400000                                     ,65,3886.520263671875,Greed                                             
348,1550620800000                                     ,59,3915.010009765625,Greed                                             
349,1550707200000                                     ,59,3976.808837890625,Greed                                             
350,1550793600000                                     ,61,3934.8134765625,Greed                                             
351,1550880000000                                     ,63,3973.641357421875,Greed                                             
352,1550966400000                                     ,69,4115.337890625,Greed                                             
353,1551052800000                                     ,47,3742.868896484375,Neutral                                           
354,1551139200000                                     ,40,3824.68359375,Fear                                              
355,1551225600000                                     ,39,3809.209716796875,Fear                                              
356,1551312000000                                     ,39,3813.3779296875,Fear                                              
357,1551398400000                                     ,42,3815.607666015625,Fear                                              
358,1551484800000                                     ,41,3815.75390625,Fear                                              
359,1551571200000                                     ,44,3819.645751953125,Fear                                              
360,1551657600000                                     ,36,3806.954345703125,Fear                                              
361,1551744000000                                     ,35,3712.8125,Fear                                              
362,1551830400000                                     ,42,3852.461669921875,Fear                                              
363,1551916800000                                     ,56,3860.5107421875,Greed                                             
364,1552003200000                                     ,54,3871.63720703125,Neutral                                           
365,1552089600000                                     ,55,3861.87939453125,Greed                                             
366,1552176000000                                     ,55,3941.600830078125,Greed                                             
367,1552262400000                                     ,56,3923.559814453125,Greed                                             
368,1552348800000                                     ,56,3860.359130859375,Greed                                             
369,1552435200000                                     ,54,3876.48095703125,Neutral                                           
370,1552521600000                                     ,55,3865.81787109375,Greed                                             
371,1552608000000                                     ,55,3876.69873046875,Greed                                             
372,1552694400000                                     ,54,3925.460693359375,Neutral                                           
373,1552780800000                                     ,58,4007.70947265625,Greed                                             
374,1552867200000                                     ,56,3980.989990234375,Greed                                             
375,1552953600000                                     ,56,3986.706787109375,Greed                                             
376,1553040000000                                     ,55,4013.576904296875,Greed                                             
377,1553126400000                                     ,62,4045.57275390625,Greed                                             
