,time,value,MA,PRICE
833,1592524800000,42,9531,9400
834,1592611200000,41,9490,9313
835,1592697600000,40,9453,9360
836,1592784000000,38,9400,9298
837,1592870400000,39,9432,9679
838,1592956800000,40,9446,9625
839,1593043200000,40,9430,9288
840,1593129600000,40,9422,9259
841,1593216000000,41,9398,9166
842,1593302400000,41,9351,9014
843,1593388800000,41,9322,9140
844,1593475200000,41,9302,9185
845,1593561600000,42,9288,9150
846,1593648000000,42,9276,9231
847,1593734400000,42,9257,9094
848,1593820800000,42,9202,9071
849,1593907200000,41,9157,9133
850,1593993600000,41,9139,9087
851,1594080000000,41,9147,9342
852,1594166400000,41,9155,9254
853,1594252800000,42,9193,9432
854,1594339200000,42,9201,9236
855,1594425600000,42,9210,9283
856,1594512000000,42,9218,9234
857,1594598400000,42,9224,9297
858,1594684800000,42,9237,9241
859,1594771200000,42,9253,9247
860,1594857600000,43,9260,9203
861,1594944000000,43,9264,9136
862,1595030400000,43,9247,9156
863,1595116800000,43,9240,9168
864,1595203200000,43,9219,9203
865,1595289600000,43,9212,9163
866,1595376000000,43,9221,9384
867,1595462400000,45,9247,9514
868,1595548800000,46,9273,9590
869,1595635200000,47,9300,9536
