,time,value,MA,PRICE
690,1580169600000,48,8654,8879
691,1580256000000,49,8692,9321
692,1580342400000,49,8726,9277
693,1580428800000,50,8800,9510
694,1580515200000,50,8862,9308
695,1580601600000,51,8920,9363
696,1580688000000,52,8981,9338
697,1580774400000,53,9062,9309
698,1580860800000,54,9130,9180
699,1580947200000,56,9243,9592
700,1581033600000,57,9347,9745
701,1581120000000,57,9431,9799
702,1581206400000,57,9483,9891
703,1581292800000,57,9562,10148
704,1581379200000,56,9597,9890
705,1581465600000,57,9680,10227
706,1581552000000,57,9768,10329
707,1581638400000,58,9848,10221
708,1581724800000,59,9940,10320
709,1581811200000,59,10005,9894
710,1581897600000,58,10037,9944
711,1581984000000,58,10035,9724
712,1582070400000,57,10066,10134
713,1582156800000,56,10041,9618
714,1582243200000,55,9992,9608
715,1582329600000,54,9972,9673
716,1582416000000,53,9920,9659
717,1582502400000,51,9886,9947
718,1582588800000,49,9836,9671
719,1582675200000,47,9747,9345
720,1582761600000,45,9648,8802
721,1582848000000,45,9542,8781
722,1582934400000,43,9450,8717
723,1583020800000,42,9307,8553
724,1583107200000,42,9211,8568
725,1583193600000,41,9147,8906
726,1583280000000,41,9064,8757
727,1583366400000,40,8982,8759
728,1583452800000,40,8900,9039
729,1583539200000,39,8851,9136
730,1583625600000,38,8811,8902
731,1583712000000,36,8742,8041
732,1583798400000,34,8664,7921
733,1583884800000,32,8590,7907
734,1583971200000,30,8534,7936
735,1584057600000,28,8222,5143
736,1584144000000,25,7917,5543
737,1584230400000,22,7595,5214
738,1584316800000,19,7289,5398
739,1584403200000,17,6925,5033
740,1584489600000,14,6584,5389
741,1584576000000,12,6264,5376
742,1584662400000,11,6094,6170
743,1584748800000,11,5937,6196
744,1584835200000,10,5777,6146
745,1584921600000,10,5588,5860
746,1585008000000,10,5707,6456
747,1585094400000,11,5815,6730
748,1585180800000,11,5950,6696
749,1585267200000,11,6074,6766
750,1585353600000,11,6198,6398
751,1585440000000,11,6277,6255
752,1585526400000,11,6326,5915
753,1585612800000,11,6347,6403
754,1585699200000,11,6368,6422
755,1585785600000,12,6413,6641
756,1585872000000,12,6499,6808
757,1585958400000,12,6524,6733
758,1586044800000,12,6536,6859
759,1586131200000,12,6544,6788
760,1586217600000,13,6593,7298
761,1586304000000,14,6665,7197
762,1586390400000,15,6764,7342
763,1586476800000,15,6890,7294
764,1586563200000,15,6932,6865
765,1586649600000,15,6973,6879
766,1586736000000,15,6998,6913
767,1586822400000,15,7002,6858
768,1586908800000,16,7014,6860
769,1586995200000,16,6993,6629
770,1587081600000,16,7018,7060
771,1587168000000,16,6994,7035
772,1587254400000,15,6998,7243
773,1587340800000,15,6978,7128
774,1587427200000,15,6939,6856
775,1587513600000,15,6937,6842
776,1587600000000,16,6958,7110
777,1587686400000,17,7000,7383
778,1587772800000,18,7058,7495
779,1587859200000,18,7120,7539
780,1587945600000,19,7216,7684
781,1588032000000,20,7281,7774
782,1588118400000,21,7347,7758
783,1588204800000,24,7483,8744
784,1588291200000,26,7618,8611
785,1588377600000,28,7797,8825
786,1588464000000,30,7990,8966
787,1588550400000,33,8152,8889
788,1588636800000,34,8288,8884
789,1588723200000,36,8425,9003
790,1588809600000,39,8571,9145
791,1588896000000,41,8778,9959
792,1588982400000,44,8964,9822
793,1589068800000,46,9129,9567
794,1589155200000,45,9129,8753
795,1589241600000,45,9129,8605
796,1589328000000,45,9126,8788
797,1589414400000,45,9154,9283
798,1589500800000,45,9237,9796
799,1589587200000,45,9275,9309
800,1589673600000,45,9309,9375
801,1589760000000,45,9357,9666
802,1589846400000,44,9334,9708
803,1589932800000,44,9328,9760
804,1590019200000,44,9325,9527
805,1590105600000,44,9353,9060
806,1590192000000,44,9401,9132
807,1590278400000,45,9435,9170
808,1590364800000,45,9385,8732
809,1590451200000,44,9302,8884
810,1590537600000,44,9259,8839
811,1590624000000,44,9241,9174
812,1590710400000,44,9230,9546
813,1590796800000,44,9205,9427
814,1590883200000,44,9196,9663
815,1590969600000,44,9190,9467
816,1591056000000,45,9291,10168
817,1591142400000,46,9326,9515
818,1591228800000,47,9369,9645
819,1591315200000,48,9464,9776
820,1591401600000,49,9533,9637
821,1591488000000,51,9607,9663
822,1591574400000,52,9659,9739
823,1591660800000,52,9679,9773
824,1591747200000,53,9710,9767
825,1591833600000,53,9730,9875
826,1591920000000,52,9717,9326
827,1592006400000,50,9653,9470
828,1592092800000,49,9649,9469
829,1592179200000,48,9622,9346
830,1592265600000,46,9591,9432
831,1592352000000,45,9580,9525
832,1592438400000,44,9562,9463
