time,value,MA,PRICE
1566000000000,40,11196,10325
1566086400000,37,11079,10224
1566172800000,34,10928,10310
1566259200000,32,10826,10896
1566345600000,28,10725,10744
1566432000000,24,10615,10124
1566518400000,23,10486,10128
1566604800000,22,10396,10386
1566691200000,24,10327,10145
1566777600000,27,10333,10090
1566864000000,27,10337,10335
1566950400000,28,10323,10168
1567036800000,28,10280,9753
1567123200000,28,10205,9485
1567209600000,26,10086,9589
1567296000000,27,9983,9607
1567382400000,29,9947,9729
1567468800000,30,9965,10323
1567555200000,31,9986,10620
1567641600000,31,10025,10574
1567728000000,31,10069,10570
1567814400000,32,10070,10351
1567900800000,33,10097,10462
1567987200000,35,10156,10404
1568073600000,37,10232,10322
1568160000000,38,10280,10121
1568246400000,40,10330,10151
1568332800000,41,10391,10401
1568419200000,40,10394,10356
1568505600000,40,10369,10350
1568592000000,40,10345,10306
1568678400000,40,10317,10268
1568764800000,39,10304,10203
1568851200000,38,10276,10159
1568937600000,38,10263,10253
1569024000000,38,10250,10178
1569110400000,38,10238,9997
1569196800000,38,10228,10041
1569283200000,38,10165,9700
1569369600000,36,10014,8703
1569456000000,34,9841,8446
1569542400000,32,9641,8099
1569628800000,32,9451,8183
1569715200000,31,9271,8225
1569801600000,31,9081,8064
1569888000000,30,8901,8271
1569974400000,31,8736,8367
1570060800000,31,8586,8350
1570147200000,30,8417,8176
1570233600000,29,8277,8157
1570320000000,30,8225,8140
1570406400000,32,8175,7890
1570492800000,33,8182,8182
1570579200000,34,8182,8181
1570665600000,34,8214,8573
1570752000000,35,8259,8562
1570838400000,35,8260,8278
1570924800000,35,8254,8308
1571011200000,35,8249,8289
1571097600000,36,8264,8347
1571184000000,37,8266,8176
1571270400000,38,8254,8010
1571356800000,39,8272,8080
1571443200000,39,8251,7957
1571529600000,39,8230,7950
1571616000000,39,8197,8208
1571702400000,39,8166,8221
1571788800000,38,8145,8045
1571875200000,37,8068,7469
1571961600000,35,7991,7434
1572048000000,37,8018,8652
1572134400000,38,8113,9217
1572220800000,39,8249,9502
1572307200000,40,8354,9240
1572393600000,41,8486,9407
1572480000000,42,8597,9172
1572566400000,43,8683,9152
1572652800000,44,8775,9233
1572739200000,47,8889,9303
1572825600000,49,9047,9204
1572912000000,52,9224,9379
1572998400000,52,9283,9300
1573084800000,52,9294,9340
1573171200000,51,9268,9221
1573257600000,50,9228,8796
1573344000000,49,9174,8810
1573430400000,48,9162,9044
1573516800000,47,9124,8730
1573603200000,46,9085,8807
1573689600000,44,9037,8771
1573776000000,43,8986,8652
1573862400000,42,8905,8480
1573948800000,41,8832,8496
1574035200000,39,8756,8508
1574121600000,38,8663,8203
1574208000000,38,8604,8139
1574294400000,37,8539,8096
1574380800000,35,8410,7632
1574467200000,34,8280,7293
1574553600000,32,8144,7310
1574640000000,30,7977,6936
1574726400000,28,7837,7118
1574812800000,27,7717,7158
1574899200000,26,7625,7484
1574985600000,25,7528,7439
1575072000000,26,7484,7721
1575158400000,25,7431,7556
1575244800000,25,7368,7406
1575331200000,26,7339,7309
1575417600000,26,7338,7286
1575504000000,26,7329,7210
1575590400000,27,7369,7374
1575676800000,28,7407,7531
1575763200000,29,7437,7494
1575849600000,29,7439,7508
1575936000000,28,7431,7347
